商品ID,商品名称,规格,条码,折扣价,原价,skuid
950657120093,汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶,,6925303770563,3.49,8.3,950657120093 
950103769331,康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶,,6920152424285,4.9,6.5,950103769331
949473714726,上好佳 鲜虾片膨化食品 80克/袋,,6926265313386,5.2,8,949473714726
949474714550,百威 9.7°P啤酒 500ml/听,,6948960100078,0.01,9.5,949474714550
949480010428,统一茄皇 茄皇牛肉面 128g/桶,,6925303796426,5.5,7.5,949480010428
949021931793,合味道 五香牛肉风味方便面 77g/杯,,6917935002167,4.9,7.2,949021931793
949017207423,统一 老坛酸菜牛肉面 120g/桶,,6925303773106,3.9,5.5,949017207423
949013603691,乌苏啤酒wusu 11°P啤酒 620ml/瓶,,6921336821142,5.85,9,949013603691
949028739570,达利园 桂圆莲子八宝粥 360g/罐,,6911988011985,2.9,5,949028739570
949011367952,百威Budweiser 9.7°P啤酒 500ml*3罐/盒,,6948960102188,17.99,25.6,949011367952
949022979397,心相印 茶语丝享抽纸 130抽/袋,,6903244675147,2.25,4.5,949022979397
949026215402,六神 花露水 95ml/瓶,,6901294177024,9.9,15.8,949026215402
949473118005,好丽友好有趣 韩国泡菜味好友趣切片型马铃薯片 45g/袋,,6920907808834,2.5,5,949473118005
949017407755,苏菲 420mm超熟睡超薄夜用卫生巾 4片/包,,6934660524818,11.93,15.9,949017407755
949026491329,李子柒 柳州螺狮粉 335g(米粉包100g调味包235g)/袋,,6971558610017,11.11,19.8,949026491329
949021019485,心相印 杀菌卫生湿巾 10片/袋,,6922868284283,3.3,8,949021019485
949472446011,上好佳Oishi 无反式脂肪海苔味日式鱼果膨化食品 50g/袋,,6926265301130,3.77,5.8,949472446011
950105049760,喜力Heineken 11.4°P啤酒 500ml/听,,6953029710242,6.9,11.9,950105049760
949474394256,海天 鲜味生抽酿造酱油 500ml/瓶,,6902265170501,6.44,9.9,949474394256
949019347220,洽洽 香瓜子 160g/袋,,6924187820067,7.33,11.9,949019347220
949480294380,苏菲 柔棉感超熟睡420夜用纤巧卫生巾 4片/包,,6934660516714,5.83,15.9,949480294380
950129193493,青岛啤酒 10°P经典啤酒 500ml/听,,6901035605328,4.55,7,950129193493
950103969919,郎 45度小郎酒浓酱兼香型白酒 100ml/瓶,,6972119550360,14.92,19.89,950103969919
950100413689,劲牌 35度中国劲酒 125ml/瓶,,6909131169201,17.1,22.8,950100413689
950663392940,牛栏山 42度牛栏山陈酿酒调香白酒 500ml/瓶,,6906151600462,20.38,25.8,950663392940
949021867021,乐事 青柠味原切马铃薯片 70g/袋,,6924743919266,4.88,7.5,949021867021
949483266198,宝矿力水特POCARI SWEAT 电解质饮料 900ml/瓶,,6937761805152,8.49,12.5,949483266198
949474530419,老干妈 风味鸡油辣椒 280g/瓶,,6921804700795,12.6,16.8,949474530419
949473998395,雪花Snowbeer 12.0°P老雪雪花啤酒 640ml/瓶,,6949352233824,6.37,9.8,949473998395
949018491523,乐事 香脆烤鸡翅味大波浪薯片 70克/袋,,7920744918658,5.07,7.8,949018491523
949016895490,北冰洋 橙汁汽水 330ml/罐,,6972020770161,4.99,7.5,949016895490
949476034503,浪味仙 蔬菜口味创意花式薯卷 70g/袋,,6905734301031,5.53,8.5,949476034503
949477066973,锐澳微醺 白桃白兰地味鸡尾酒 330ml/罐,,6935145343030,6.44,9.9,949477066973
949015899222,达利园 香奶味法式软面包 360g/袋,,6911988014825,11.11,18.8,949015899222
949013951817,卫龙亲嘴烧 经典香辣味调味面制品 20g/袋,,6935284455557,0.75,1.5,949013951817
949023655620,淘淘氧棉天山白 240mm轻盈无边纯棉日用卫生巾 10片/包,,6921284451033,11.11,16.8,949023655620
950692372216,真露JINRO 13度草莓味利口酒 360ml/瓶,,8801048178018,11.11,16.6,950692372216
949022207713,乌江 微辣榨菜丝微辣脆爽 80g/袋,,6901754050195,3.09,6,949022207713
