,meituan_name,meituan_spec,top_matches
20318304358,（规格自选强力布基胶带网格双面胶高粘度透明无痕地毯地垫沙发垫固定贴 一卷,5cm*10m#2cm*10m,"[{'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 949473714726, 'matched_elme_name': '上好佳 鲜虾片膨化食品 80克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20593235769,海氏海诺 一次性医用外科口罩 10只_盒,10只/盒,"[{'matched_elme_id': 949021019485, 'matched_elme_name': '心相印 杀菌卫生湿巾 10片/袋', 'matched_elme_spec': nan, 'similarity_score': 0.3454}, {'matched_elme_id': 950129193493, 'matched_elme_name': '青岛啤酒 10°P经典啤酒 500ml/听', 'matched_elme_spec': nan, 'similarity_score': 0.3406}, {'matched_elme_id': 949023655620, 'matched_elme_name': '淘淘氧棉天山白 240mm轻盈无边纯棉日用卫生巾 10片/包', 'matched_elme_spec': nan, 'similarity_score': 0.2407}]"
20317711803,爱斐堡 牛奶味生吐司 散装 约70g_袋,70g*1袋,"[{'matched_elme_id': 949473410578, 'matched_elme_name': '老李 五香干 70g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.4181}, {'matched_elme_id': 949021867021, 'matched_elme_name': '乐事 青柠味原切马铃薯片 70g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.3177}, {'matched_elme_id': 949476034503, 'matched_elme_name': '浪味仙 蔬菜口味创意花式薯卷 70g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.268}]"
20318114339,【1条】雀巢 脆脆鲨巧克力味威化饼干 零食营养能量棒,1根,"[{'matched_elme_id': 949475162600, 'matched_elme_name': 'Richeese 丽芝士 纳宝帝奶酪味威化饼干 56g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.3809}, {'matched_elme_id': 949011555171, 'matched_elme_name': '娃哈哈营养快线 水果酸奶饮品 500g/瓶', 'matched_elme_spec': nan, 'similarity_score': 0.2068}, {'matched_elme_id': 949015511254, 'matched_elme_name': '太平 低糖奶盐味梳打饼干 100g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.1936}]"
20316956858,天明 桉叶糖 22克_盒,22克*1盒,"[{'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 949473714726, 'matched_elme_name': '上好佳 鲜虾片膨化食品 80克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20319809089,洽洽 香瓜子 洽洽坚果炒货 110g／包,110g/包,"[{'matched_elme_id': 949019347220, 'matched_elme_name': '洽洽 香瓜子 160g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.614}, {'matched_elme_id': 949028799678, 'matched_elme_name': '洽洽香瓜子葵瓜子原味恰恰原香瓜子前台接待坚果炒货休闲KTV零食 260g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.5779}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20470087532,秀峰香 肉松沙拉三明治面包 65g_袋,65g*1袋,"[{'matched_elme_id': 950676368263, 'matched_elme_name': '南街村 北京麻辣方便面 65g／袋 儿时的味道经典麻辣味', 'matched_elme_spec': nan, 'similarity_score': 0.3205}, {'matched_elme_id': 949015899222, 'matched_elme_name': '达利园 香奶味法式软面包 360g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2057}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20649168306,【山姆同款】Member's Mark 榛子味威化饼干_45g袋,,"[{'matched_elme_id': 949475162600, 'matched_elme_name': 'Richeese 丽芝士 纳宝帝奶酪味威化饼干 56g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.4227}, {'matched_elme_id': 949015511254, 'matched_elme_name': '太平 低糖奶盐味梳打饼干 100g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2205}, {'matched_elme_id': 949473118005, 'matched_elme_name': '好丽友好有趣 韩国泡菜味好友趣切片型马铃薯片 45g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2184}]"
20319136979,【新鲜时令】进口新鲜水果越南香蕉500g约3-5根_份,500g*1份,"[{'matched_elme_id': 949011555171, 'matched_elme_name': '娃哈哈营养快线 水果酸奶饮品 500g/瓶', 'matched_elme_spec': nan, 'similarity_score': 0.5114}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20318183497,达利园 香奶味软面包  200g／袋 面包就要达利园,200g*1袋,"[{'matched_elme_id': 949015899222, 'matched_elme_name': '达利园 香奶味法式软面包 360g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.7449}, {'matched_elme_id': 949028739570, 'matched_elme_name': '达利园 桂圆莲子八宝粥 360g/罐', 'matched_elme_spec': nan, 'similarity_score': 0.2678}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
