商品ID,商品名称,规格,upc码,折扣价,原价,skuid
20318304358,（规格自选强力布基胶带网格双面胶高粘度透明无痕地毯地垫沙发垫固定贴 一卷,5cm*10m#2cm*10m,6902051437672,12.45,15,35112245909
20593235769,海氏海诺 一次性医用外科口罩 10只_盒,10只/盒,6925923788313,12.96,15.8,35816960188
20317711803,爱斐堡 牛奶味生吐司 散装 约70g_袋,70g*1袋,6971985410174,4.58,5.2,35111173396
20318114339,【1条】雀巢 脆脆鲨巧克力味威化饼干 零食营养能量棒,1根,6901884278551,3.76,2,35113206574
20316956858,天明 桉叶糖 22克_盒,22克*1盒,6901311000021,2.64,3,35110532938
20319809089,洽洽 香瓜子 洽洽坚果炒货 110g／包,110g/包,6901127020046,1.97,6.8,35111671290
20470087532,秀峰香 肉松沙拉三明治面包 65g_袋,65g*1袋,6922359501592,5.19,5.9,35572517767
20649168306,【山姆同款】Member's Mark 榛子味威化饼干_45g袋,,,4.4,5,35946840941
20319136979,【新鲜时令】进口新鲜水果越南香蕉500g约3-5根_份,500g*1份,2080192644136,14.78,16.8,35111253723
20318183497,达利园 香奶味软面包  200g／袋 面包就要达利园,200g*1袋,6904012995245,7.48,8.5,35109838607
20318504675,脆司令 奥尔良鸡翅味香脆面干脆面 53g／袋,53g*1袋,6903881133598,2.97,1.8,35112534219
20318026323,小浣熊 滋滋烤肉味干脆面 有肉任性35g／袋 初心不改美味依旧（包装随机发货）,35克,6903436355581,1.3,2,35109837925
20319641691,马来西亚进口大马碧富咸柠檬薄荷糖清凉青柠味清新himalaya润喉糖15克_袋,,3555630107614,7.04,8,35108871597
20319728224,劲仔 香辣小鱼 12g_袋,12g*1袋,6951957205786,1.32,1.5,35109865386
20320245924,好丽友派 巧克力味涂饰蛋类芯饼 68g／盒,68g*1盒,6903662463494,1.45,5,35112735868
20319567245,金厨娘 美味鸭掌 28g_袋,28克/袋,6935563600265,3.08,3.5,35109709355
20318976028,45米大号封箱胶带快递打包透明胶条加厚加宽包装胶布胶纸封箱带 _个,,2080127741411,4.31,8.8,35110706129
20316758375,脆司令 香葱蛋卷味香脆面 53g_袋,53克/袋,6920189004429,1.17,1.8,35109825383
20511433517,迪味臻五香卤蛋 30g_袋,30g*1袋,6948385700105,2.64,3,35653224088
20617709736,黄瓜约500g_份,500g*1份,,8.71,9.9,35872097376
20320160947,海氏海诺 透明防水创可贴6片／盒 可用于创面保护防感染,6片*1盒,6902211310586,5.53,6.5,35109758772
20317632702,GEMEZ 烤鸡风味小鸡干脆面 30g_袋,30克/袋,8994834002595,2.47,3.8,35110510682
20318029263,小米 指甲剪米家防飞溅家用指甲刀女修指甲不锈钢指甲刀／把,1个*1份,6903790820978,19.38,22.8,35111232530
20317942303,魔法士 巴西烤肉油炸方便面 35g_袋,35g*1袋,6901715297829,1.3,2,35109791895
